accession,spec count,peptide num,avg int m/z_126.127726,avg int m/z_127.124761,avg int m/z_127.131081,avg int m/z_128.128116,avg int m/z_128.134436,avg int m/z_129.131471,avg int m/z_129.13779,avg int m/z_130.134825,avg int m/z_130.141145,avg int m/z_131.13818,avg int m/z_131.1445,avg int m/z_132.141535,avg int m/z_132.147855,avg int m/z_133.14489,avg int m/z_133.15121,avg int m/z_134.148245,norm int m/z_126.127726,norm int m/z_127.124761,norm int m/z_127.131081,norm int m/z_128.128116,norm int m/z_128.134436,norm int m/z_129.131471,norm int m/z_129.13779,norm int m/z_130.134825,norm int m/z_130.141145,norm int m/z_131.13818,norm int m/z_131.1445,norm int m/z_132.141535,norm int m/z_132.147855,norm int m/z_133.14489,norm int m/z_133.15121,norm int m/z_134.148245,description
Q3TEA8-2,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Isoform 2 of Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3
Z4YKB8,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1
Z4YKA3,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1
A2AM65,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Heterochromatin protein 1-binding protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1
Q3TEA8,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3 PE=1 SV=1
Q3TEA8-3,10,10,2021.6,2502.6,1718.7,4383.9,3685.6,2773.5,2853.2,2611.3,2019.5,4771.3,2599.1,3705.3,2004.6,2478.2,3120.2,2219.3,2463.7,3078.2,2913.7,3261.7,2799.9,3289,3683.6,3115.6,2755.1,3158.3,2957,2972.7,2943.6,2301.9,1985.4,2300.5,Isoform 3 of Heterochromatin protein 1-binding protein 3 OS=Mus musculus OX=10090 GN=Hp1bp3
Q99N28,9,9,7558.11,3986.56,2530.11,17537.78,7059.89,4900,5533.67,5957.56,3506.22,9359.67,4746.78,9205.56,3269.89,8308.44,7105.22,5577.33,9212,4903.78,4289.67,13049.22,5363.67,5811,7144.78,7108.78,4783.67,6196.22,5400.89,7386.22,4801.56,7718.44,4521.44,5782,Cell adhesion molecule 3 OS=Mus musculus OX=10090 GN=Cadm3 PE=1 SV=1
K4DI58,9,9,7558.11,3986.56,2530.11,17537.78,7059.89,4900,5533.67,5957.56,3506.22,9359.67,4746.78,9205.56,3269.89,8308.44,7105.22,5577.33,9212,4903.78,4289.67,13049.22,5363.67,5811,7144.78,7108.78,4783.67,6196.22,5400.89,7386.22,4801.56,7718.44,4521.44,5782,Cell adhesion molecule 3 OS=Mus musculus OX=10090 GN=Cadm3 PE=1 SV=1
Q9Z1D1,1,1,3291,2563,1656,4072,6698,3814,3647,2399,3428,7429,3284,4595,2846,4962,5736,3392,4011,3153,2808,3029,5089,4523,4709,2862,4677,4918,3736,3687,4179,4610,3650,3516,Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2
Q6PDM2,4,4,3319.5,2453,1708,3632.25,3679.25,2125,2865.25,2958,1800.75,5155.25,2661.5,3639,2048.5,3878.25,3517.25,2467,4045.5,3017.25,2895.5,2702.25,2795.25,2520,3699.5,3529.5,2456.75,3412.75,3028,2919.75,3008,3602.75,2238,2557.25,Serine/arginine-rich splicing factor 1 OS=Mus musculus OX=10090 GN=Srsf1 PE=1 SV=3
H7BX95,4,4,3319.5,2453,1708,3632.25,3679.25,2125,2865.25,2958,1800.75,5155.25,2661.5,3639,2048.5,3878.25,3517.25,2467,4045.5,3017.25,2895.5,2702.25,2795.25,2520,3699.5,3529.5,2456.75,3412.75,3028,2919.75,3008,3602.75,2238,2557.25,Serine/arginine-rich splicing factor 1 OS=Mus musculus OX=10090 GN=Srsf1 PE=1 SV=1
O88952,2,2,2823.5,2135,1442,9998,2299,2176,1863,2216.5,1675.5,6457,2290.5,4107,1148,2357,1925.5,1772.5,3441,2626,2444.5,7438.5,1746.5,2580.5,2405,2644.5,2285.5,4274.5,2606,3295,1685.5,2189.5,1225,1837.5,Protein lin-7 homolog C OS=Mus musculus OX=10090 GN=Lin7c PE=1 SV=2
Q8JZS0,2,2,2823.5,2135,1442,9998,2299,2176,1863,2216.5,1675.5,6457,2290.5,4107,1148,2357,1925.5,1772.5,3441,2626,2444.5,7438.5,1746.5,2580.5,2405,2644.5,2285.5,4274.5,2606,3295,1685.5,2189.5,1225,1837.5,Protein lin-7 homolog A OS=Mus musculus OX=10090 GN=Lin7a PE=1 SV=2
Q8K021,1,1,1110,954,485,5716,937,501,1045,722,515,1834,779,1418,520,894,1442,828,1352,1173,822,4253,711,594,1349,861,702,1214,886,1137,763,830,917,858,Secretory carrier-associated membrane protein 1 OS=Mus musculus OX=10090 GN=Scamp1 PE=1 SV=1
Q8BJU0-2,6,6,1562.33,3809.83,1122.67,22301.67,3646.83,2790.5,3243,3454,2247.17,8895.83,4444.5,6964.17,1764,4621,4275,3875.17,1904,4686.5,1903.17,16594,2770.33,3308.83,4187,4121.33,3065.67,5889.17,5057.17,5587.83,2590.17,4292.67,2720.17,4017.33,Isoform 2 of Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus OX=10090 GN=Sgta
A0A1W2P7I5,6,6,1562.33,3809.83,1122.67,22301.67,3646.83,2790.5,3243,3454,2247.17,8895.83,4444.5,6964.17,1764,4621,4275,3875.17,1904,4686.5,1903.17,16594,2770.33,3308.83,4187,4121.33,3065.67,5889.17,5057.17,5587.83,2590.17,4292.67,2720.17,4017.33,"Small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha (Fragment) OS=Mus musculus OX=10090 GN=Sgta PE=1 SV=1"
A0A1W2P6P1,6,6,1562.33,3809.83,1122.67,22301.67,3646.83,2790.5,3243,3454,2247.17,8895.83,4444.5,6964.17,1764,4621,4275,3875.17,1904,4686.5,1903.17,16594,2770.33,3308.83,4187,4121.33,3065.67,5889.17,5057.17,5587.83,2590.17,4292.67,2720.17,4017.33,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Fragment) OS=Mus musculus OX=10090 GN=Sgta PE=1 SV=1
Q8BJU0,6,6,1562.33,3809.83,1122.67,22301.67,3646.83,2790.5,3243,3454,2247.17,8895.83,4444.5,6964.17,1764,4621,4275,3875.17,1904,4686.5,1903.17,16594,2770.33,3308.83,4187,4121.33,3065.67,5889.17,5057.17,5587.83,2590.17,4292.67,2720.17,4017.33,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus OX=10090 GN=Sgta PE=1 SV=2
F6QCI0,3,3,7322.33,10121.33,6268.67,10666,3070.67,10894.67,3466,3043.33,11157.67,22628,2994.67,4596.33,1498.33,3770.33,3126,2894,8924.67,12451,10629,7936,2332.67,12920.67,4474.67,3631,15224,14981,3407,3687.67,2200,3502.33,1989,3000,TATA-box binding protein associated factor 15 (Fragment) OS=Mus musculus OX=10090 GN=Taf15 PE=1 SV=1
Q8BQ46,3,3,7322.33,10121.33,6268.67,10666,3070.67,10894.67,3466,3043.33,11157.67,22628,2994.67,4596.33,1498.33,3770.33,3126,2894,8924.67,12451,10629,7936,2332.67,12920.67,4474.67,3631,15224,14981,3407,3687.67,2200,3502.33,1989,3000,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor OS=Mus musculus OX=10090 GN=Taf15 PE=1 SV=1"
Reverse_sp|Q32Q92-2|ACOT6_MOUSE,1,1,6554,9502,5620,6088,23546,6148,13005,10837,5435,14420,12810,17974,7663,14846,15356,10755,7988,11689,9529,4530,17890,7291,16792,12932,7415,9547,14576,14422,11253,13792,9773,11150,Isoform 2 of Acyl-coenzyme A thioesterase 6 OS=Mus musculus OX=10090 GN=Acot6
Q3UZP7,4,4,0,0,0,560,0,315,0,334,0,257,0,0,0,0,613,0,NA,NA,NA,416,NA,373,NA,398,NA,170,NA,NA,NA,NA,390,NA,Paralemmin-1 OS=Mus musculus OX=10090 GN=Palm PE=1 SV=1
Q9D0S9,1,1,0,0,0,0,0,0,0,0,0,264,0,0,0,285,0,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,264,NA,358,Adenosine 5&#039;-monophosphoramidase HINT2 OS=Mus musculus OX=10090 GN=Hint2 PE=1 SV=1
E9Q557,38,38,2155.11,3650.06,2410,6215.75,5594,3952.72,2060.78,2723.89,3193.47,4627.31,3860.81,5362.64,2544.58,4242.31,9629.39,4092.36,2626.42,4489.94,4086,4624.61,4249.92,4687.5,2660.58,3250.03,4357,3063.17,4392.81,4302.58,3736.58,3940.94,6127.94,4242.33,Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1
Q9Z2U1,6,6,897.5,1043.83,766.5,1930,1517.67,1190.83,882.33,962.33,1337,1854.67,1318.83,1899.33,790.83,1383.67,2374,1310.67,1093.5,1283.5,1299.5,1435.67,1152.5,1412,1139.17,1147.83,1823.67,1227.5,1500.33,1523.67,1161.17,1285.33,1510.33,1358.17,Proteasome subunit alpha type-5 OS=Mus musculus OX=10090 GN=Psma5 PE=1 SV=1
Q9CPW4,2,2,717.5,576.5,282.5,666.5,559.5,468.5,561,436.5,442.5,557.5,527.5,674.5,125.5,620,722,217.5,874,708.5,479,495.5,424.5,555.5,724,520.5,603.5,368.5,599.5,541,184,575.5,459,225.5,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3
Q3UA72,2,2,717.5,576.5,282.5,666.5,559.5,468.5,561,436.5,442.5,557.5,527.5,674.5,125.5,620,722,217.5,874,708.5,479,495.5,424.5,555.5,724,520.5,603.5,368.5,599.5,541,184,575.5,459,225.5,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=1
D3YUB6-3,44,44,1659.95,4022.57,1646.61,5490.8,3650.18,3996.41,2415,2790.77,2497.05,7445,2981.09,4084.39,1315.77,3703.27,3286.11,2545.91,2022.8,4948.16,2791.7,4085.09,2773.05,4739.36,3117.93,3329.77,3406.77,4928.66,3391.7,3276.91,1931.86,3439.98,2090.91,2639.18,Isoform 3 of BTB/POZ domain-containing protein 8 OS=Mus musculus OX=10090 GN=Btbd8
D3YUB6,44,44,1659.95,4022.57,1646.61,5490.8,3650.18,3996.41,2415,2790.77,2497.05,7445,2981.09,4084.39,1315.77,3703.27,3286.11,2545.91,2022.8,4948.16,2791.7,4085.09,2773.05,4739.36,3117.93,3329.77,3406.77,4928.66,3391.7,3276.91,1931.86,3439.98,2090.91,2639.18,BTB/POZ domain-containing protein 8 OS=Mus musculus OX=10090 GN=Btbd8 PE=1 SV=2
Q6IFZ8,26,26,2382.88,3339.5,3736.35,20310.73,4686.31,3985.88,2234.54,1851.81,2991.69,3280.73,2963.73,4892.31,2242.77,2502.81,17107.46,5480.23,2903.96,4107.85,6335.12,15112.54,3560.27,4726.77,2884.92,2209.35,4081.62,2171.58,3372.08,3925.23,3293.23,2324.69,10887.27,5681.35,Predicted gene 5414 OS=Mus musculus OX=10090 GN=Gm5414 PE=1 SV=1
Q9R0H5,21,21,28081.76,38671.52,32370.24,21825.62,30965.48,42854.38,20864.95,12899.52,37267.95,22857.57,34431.14,28448.62,11618.9,21266.76,43080.38,24950.71,34227.67,47574.1,54888.67,16239.71,23527.81,50824.9,26941.71,15392.67,50851.24,15132.9,39179.33,22827.05,17063.14,19757.62,27417.38,25868.29,"Keratin, type II cytoskeletal 71 OS=Mus musculus OX=10090 GN=Krt71 PE=1 SV=1"
Q3UTQ6,1,1,8214,11408,2937,13749,19180,10872,17316,11196,9569,37232,16684,18148,7024,24260,14430,22710,10011,14034,4980,10230,14573,12894,22359,13360,13056,24650,18984,14562,10315,22539,9183,23545,Zinc finger protein 868 OS=Mus musculus OX=10090 GN=Zfp868 PE=1 SV=1
P62259,8,8,4121.88,3108.5,2408.88,12096.88,3371.62,3258.25,3859,4654.25,4141.75,7336.25,5165.75,6567.25,4082.75,3354.38,5097.75,4685.88,5023.62,3823.75,4084.12,9000.5,2561.25,3863.62,4982.62,5553.5,5650.88,4856.88,5877.75,5269,5995.38,3116,3244,4857.62,14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1
D6REF3,8,8,4121.88,3108.5,2408.88,12096.88,3371.62,3258.25,3859,4654.25,4141.75,7336.25,5165.75,6567.25,4082.75,3354.38,5097.75,4685.88,5023.62,3823.75,4084.12,9000.5,2561.25,3863.62,4982.62,5553.5,5650.88,4856.88,5877.75,5269,5995.38,3116,3244,4857.62,"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1"
P57776-2,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Isoform 2 of Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d
Q91VK2,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
Q80T06,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
F6ZFU0,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta (Fragment) OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
E9QN08,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta (Fragment) OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
A0A0R4J1L2,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
A0A0R4J1E2,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1
P57776,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=3
P57776-3,3,3,6699.33,6498.33,4697.33,6801,7113.33,6102.67,5228.67,5718.33,6673.33,6730.67,6831.33,6695.33,6464,5565,8002.33,6744.67,8165,7994,7964.67,5059.67,5404.33,7237.33,6751,6823.33,9105,4455.67,7773,5372,9492.33,5169.67,5092.67,6992.67,Isoform 3 of Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d
Q99PT1,2,2,1997,1709.5,1257.5,10789,1908.5,1595.5,1866.5,2312.5,1362.5,3860.5,1446.5,2848,1189.5,1333.5,2198,1449,2434,2102.5,2132,8027.5,1449.5,1891.5,2409.5,2759,1858.5,2555,1645.5,2285,1746.5,1238.5,1398,1501.5,Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3
P60879-2,1,1,947,773,594,3372,1644,528,1336,1262,819,1551,1867,4283,2182,2411,3040,2647,1154,950,1007,2509,1249,626,1725,1505,1117,1026,2124,3436,3204,2239,1934,2744,Isoform 2 of Synaptosomal-associated protein 25 OS=Mus musculus OX=10090 GN=Snap25
P60879,1,1,947,773,594,3372,1644,528,1336,1262,819,1551,1867,4283,2182,2411,3040,2647,1154,950,1007,2509,1249,626,1725,1505,1117,1026,2124,3436,3204,2239,1934,2744,Synaptosomal-associated protein 25 OS=Mus musculus OX=10090 GN=Snap25 PE=1 SV=1
Reverse_sp|Q63811|CANB2_MOUSE,1,1,1926,3415,2394,3141,3756,5078,1624,2003,3007,3109,2489,3723,2329,5182,11434,4979,2347,4201,4059,2337,2853,6022,2097,2390,4103,2058,2832,2987,3420,4814,7276,5162,Calcineurin subunit B type 2 OS=Mus musculus OX=10090 GN=Ppp3r2 PE=1 SV=3
A0A087WRM0,1,1,918,265,291,345,438,304,362,403,294,1717,405,685,0,466,445,593,1118,326,493,256,332,360,467,480,401,1136,460,549,NA,432,283,614,Carnitine deficiency-associated gene expressed in ventricle 3 (Fragment) OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1
Q8CHK2,2,2,0,167,160.5,896.5,191,288,444.5,127,332.5,709,612.5,137.5,149.5,139,230.5,614,NA,205,272,666.5,145,341,573.5,151.5,453.5,469,696.5,110,219.5,129,146.5,636,Relaxin-3 OS=Mus musculus OX=10090 GN=Rln3 PE=2 SV=1
V9GX98,13,13,918.62,1044.92,729.38,2329.77,2025.31,848,1218.08,1313.38,599.54,2303.46,1697.54,2541.54,681,1667,2043.92,1324.08,1119.38,1285.08,1236.31,1733.15,1538.23,1005.31,1572.46,1566.85,817.62,1524.69,1931.15,2038.92,999.62,1548.23,1300.31,1372.23,Bassoon (Fragment) OS=Mus musculus OX=10090 GN=Bsn PE=1 SV=1
Q91WJ8-2,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Isoform 2 of Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1
Q3UUU2,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
Q3TUE1,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
A0A0G2JGW9,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
A0A0G2JG00,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
A0A0G2JFY5,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
Q91WJ8,8,8,4655.75,4351.62,1464.75,19987.12,3696.25,2514.12,3472.12,3298.75,3137.38,8803,4117.75,7613,1696.75,4756.75,3737,3224.75,5674.5,5353,2483.38,14871.62,2808,2981.38,4483,3936.12,4280.5,5827.5,4685.12,6108.38,2491.62,4419,2378,3343,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1
P31001,2,2,1115.5,1538,696,8230,4406,1525,1883,1994,1593,3740,1740,3090,1594.5,2841,3788,1899,1359,1891.5,1180,6123.5,3347,1808.5,2431,2379,2173,2475.5,1979.5,2479,2341,2639,2410.5,1968.5,Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3
Q80X68,3,3,1801.33,688.33,445.67,2792,917.33,767.33,1405.33,3492,452,1598,587,1142.33,848.67,719.67,1180.67,743.33,2194.67,846.67,755.33,2077,696.33,909.67,1814.33,4166.33,616.33,1057.33,667.67,916.33,1245.67,668.33,750.67,770.33,Citrate synthase OS=Mus musculus OX=10090 GN=Csl PE=1 SV=1
contaminant_NRL_1MCOH,4,4,4369.25,30673.75,617.75,4538.75,5145.75,5193.5,1622,2865.75,4168.75,6886.5,1924.5,4355,2949,4080,6880.5,3431.75,5325.25,37735.25,1047.25,3376.75,3909.25,6159.25,2094,3419.25,5688,4559,2189.5,3494.25,4330.5,3790,4378.5,3557.75,"owl|| Immunoglobulin g1 (igg1) (mcg) with a hinge deletion, chain H..."
Reverse_sp|P97463|NRTN_MOUSE,1,1,1316,1724,1024,2162,1154,1496,914,1169,1624,1386,1252,1661,1218,1081,1595,1512,1604,2120,1736,1608,876,1774,1180,1394,2215,917,1424,1332,1788,1004,1015,1567,Neurturin OS=Mus musculus OX=10090 GN=Nrtn PE=1 SV=1
A0A0A6YWD9,1,1,391,426,567,1565,463,267,482,563,600,944,735,536,677,883,855,657,476,524,961,1164,351,316,622,671,818,625,836,430,994,820,544,681,Tenascin R (Fragment) OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=1
P97457,4,4,10662.5,8935.5,12336.75,21243.5,22660.5,44403,20137.25,14455,29489.75,24237,13637.5,11672.75,12412.5,13020.25,16311.5,8628,12995.75,10992,20918.5,15806.75,17217.25,52661.5,26002,17249,40237.75,16046.25,15517.75,9366,18228.75,12096.25,10380.5,8944.75,Myosin regulatory light chain 11 OS=Mus musculus OX=10090 GN=Myl11 PE=1 SV=3
A0A0U1RP93,4,4,10662.5,8935.5,12336.75,21243.5,22660.5,44403,20137.25,14455,29489.75,24237,13637.5,11672.75,12412.5,13020.25,16311.5,8628,12995.75,10992,20918.5,15806.75,17217.25,52661.5,26002,17249,40237.75,16046.25,15517.75,9366,18228.75,12096.25,10380.5,8944.75,"Myosin light chain, phosphorylatable, fast skeletal muscle OS=Mus musculus OX=10090 GN=Mylpf PE=1 SV=1"
Q9CQI6,1,1,1691,1703,1035,8061,1571,1193,1416,2035,1764,2977,1263,2221,1261,1408,2219,1195,2061,2095,1755,5998,1193,1414,1828,2428,2406,1971,1437,1782,1851,1308,1412,1238,Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3
Q569Z6,11,11,2128.7,2911.8,1468,5117.1,1484.2,3096.4,750.1,1156.3,2009,5789,1180,1645.6,884.6,1606.8,1508,1125.5,2594.1,3581.7,2488.7,3807.1,1127.4,3672,968.2,1379.4,2740.8,3832.3,1342.3,1320,1298.8,1492.4,959,1166.4,Thyroid hormone receptor-associated protein 3 OS=Mus musculus OX=10090 GN=Thrap3 PE=1 SV=1
Q8BZN7,11,11,2128.7,2911.8,1468,5117.1,1484.2,3096.4,750.1,1156.3,2009,5789,1180,1645.6,884.6,1606.8,1508,1125.5,2594.1,3581.7,2488.7,3807.1,1127.4,3672,968.2,1379.4,2740.8,3832.3,1342.3,1320,1298.8,1492.4,959,1166.4,Thyroid hormone receptor associated protein 3 OS=Mus musculus OX=10090 GN=Thrap3 PE=1 SV=1
Q62419,19,19,728.16,804.05,461,2806.37,1606.37,718.58,1195.11,1181.53,607.47,1772.42,1066.68,1547.16,730.53,1317.11,1427.05,1082.32,887.05,988.74,781.32,2087.74,1220.11,851.84,1542.79,1409.53,828.53,1173.16,1213.37,1241.11,1072.47,1223.26,907.89,1121.63,Endophilin-A2 OS=Mus musculus OX=10090 GN=Sh3gl1 PE=1 SV=1
A0A3B2W7K0,19,19,728.16,804.05,461,2806.37,1606.37,718.58,1195.11,1181.53,607.47,1772.42,1066.68,1547.16,730.53,1317.11,1427.05,1082.32,887.05,988.74,781.32,2087.74,1220.11,851.84,1542.79,1409.53,828.53,1173.16,1213.37,1241.11,1072.47,1223.26,907.89,1121.63,SH3-domain GRB2-like 1 OS=Mus musculus OX=10090 GN=Sh3gl1 PE=1 SV=1
P19157,1,1,864,1122,571,883,832,1020,890,1192,1679,1196,1338,1471,1627,771,1530,1045,1053,1380,968,657,632,1209,1149,1422,2290,791,1522,1180,2389,716,973,1083,Glutathione S-transferase P 1 OS=Mus musculus OX=10090 GN=Gstp1 PE=1 SV=2
